business_description,ideal_domain,label
organic craft supply store in the shopping mall eco-friendly escape room in downtown area,organiccraftsupply.net,normal
fresh hardware store in the historic quarter,freshhardwarestore.net,normal
spacious craft brewery for seniors rural car wash near the airport,spaciouscraftbrewery.org,normal
historic pediatrician office in the food court supportive organic coffee shop in the business district,historicpediatrician.net,normal
express digital marketing agency by the river,expressdigitalmarketing.net,normal
pioneering art supply store in the new development,pioneeringartsupplystore.net,normal
unique art supply store in the park sophisticated advertising company in the plaza,uniqueartsupplystore.com,normal
innovative children's museum in the shopping mall modern recording studio in the entertainment zone,innovativemuseum.org,normal
famous web design studio in the market square modern hair salon for seniors cutting-edge recording studio in the mountains,famouswebdesign.com,normal
affectionate luxury car dealership serving the city,affectionateluxurycar.com,normal
colorful pet hotel by the river local science center in the shopping mall indoor museum shop in the medical center,colorfulpethotel.org,normal
dynamic ice cream shop in the shopping mall,dynamicicecreamshop.net,normal
notable sports bar in the tech district,notablesportsbar.org,normal
rural ice cream shop for seniors pioneering food truck in the marina,ruralicecreamshop.org,normal
historic legal consultancy in the plaza luxury legal consultancy in the new development,historiclegalconsultancy.com,normal
trendy art supply store for seniors mobile mobile app developer in the new development,trendyartsupply.net,normal
compassionate mini golf course in the historic quarter,compassionateminigolfcourse.net,normal
chic nightclub in the shopping center playful music venue by the river,chicnightclubin.org,normal
notable sports equipment shop in the park legendary language school in the arts district,notablesportsequipment.net,normal
vintage art gallery in downtown area supportive bicycle shop close to university,vintageartgalleryin.com,normal
vintage spa and wellness center in the residential area,vintagespaandwellness.net,normal
vintage watch repair shop in the shopping center trendy barbershop by the river digital photography studio in the historic quarter,vintagewatchrepair.com,normal
online fashion boutique by the river renowned legal consultancy by the river modern children's museum in the medical center,onlinefashionboutique.com,normal
community museum shop in the market square,communitymuseum.com,normal
highly-rated music venue in the market square leading wellness clinic in the food court,musicvenueinthe.org,normal
sophisticated food truck in the medical center leading science center in the entertainment zone,sophisticatedfoodtruck.net,normal
express dog walking company in downtown area knowledgeable nightclub in the food court,expressdogwalkingcompany.net,normal
playful accounting firm in the market square downtown catering service in the industrial park,playfulaccounting.net,normal
compassionate personal trainer in the new development creative veterinary clinic in the suburbs seasonal dental clinic in the tech district,compassionatepersonaltrainer.org,normal
energetic photography studio near the airport premium laser tag arena in the industrial park,energeticphotographystudionear.net,normal
spacious children's bookstore in the old town express eco-friendly cleaning service in the industrial park knowledgeable bicycle shop in downtown area,spaciousbookstoreinthe.net,normal
talented toy store in the shopping center,talentedtoystorein.org,normal
