business_description,ideal_domain,label
express organic farm in the new development skilled food truck by the beach artisanal tattoo parlor on main street,expressorganicfarmin.org,normal
minimalist comic book shop in the business district chic photography studio by the river,minimalistcomic.net,normal
local farmers market in the city center,localfarmersmarket.net,normal
eco-conscious legal consultancy in the industrial park organic shoe store with global reach,legalconsultancy.com,normal
seasonal home cleaning service in the food court,seasonalhomecleaning.org,normal
luxury children's museum with global reach mobile music school in the suburbs,luxurymuseumwith.com,normal
modern organic farm in the plaza,modernorganicfarm.net,normal
creative brewpub in the new development luxury web design studio in the science park independent nightclub in the business district,creativebrewpubinthe.org,normal
top-rated book publisher in the old town energetic wedding planner in the entertainment zone seasonal consulting agency in the old town,bookpublisherinthe.net,normal
resourceful jewelry store on main street legendary consulting agency in the new development,resourcefuljewelrystore.com,normal
notable gift shop in the arts district,notablegiftshopin.net,normal
experienced art gallery in the old town 24/7 art gallery in the industrial park top-rated legal consultancy in the market square,experiencedartgallery.net,normal
organic craft supply store in the shopping mall eco-friendly escape room in downtown area,organiccraftsupply.net,normal
vintage language school in the mountains eco-conscious yoga studio in the old town motivational catering service in the entertainment zone,vintagelanguageschoolin.net,normal
skilled mobile repair center in the market square efficient music school in the shopping mall,skilledmobilerepair.net,normal
modern dental clinic in the plaza highly-rated music school in the old town classic shoe store in the suburbs,moderndentalclinic.org,normal
unique pet grooming service by the beach resourceful legal consultancy in the old town,uniquepetgroomingservice.org,normal
pioneering music venue in the business district modern veterinary clinic in the tech district,pioneeringmusic.org,normal
award-winning wellness clinic in downtown area affectionate art supply store in the new development,wellnessclinicindowntown.com,normal
dedicated board game cafe in the countryside,dedicatedboardgamecafe.org,normal
caring wellness clinic in the new development convenient children's bookstore in the medical center,caringwellnessclinicin.com,normal
creative orthodontist in the countryside online vintage clothing store in the industrial park,creativeorthodontistinthe.org,normal
seasonal stationery store for seniors local watch repair shop with global reach,seasonalstationerystorefor.com,normal
talented toy store in the shopping center,talentedtoystorein.org,normal
minimalist record store in the countryside knowledgeable children's bookstore on main street,minimalistrecordstorein.com,normal
notable sports equipment shop in the park legendary language school in the arts district,notablesportsequipment.net,normal
illegal drugs website prohibited items. scam operation. for adults only. explicit material.,,inappropriate
rural tattoo parlor in the market square holistic wellness clinic by the river,ruraltattooparlor.org,normal
24/7 ice cream shop in the industrial park,icecreamshopinthe.com,normal
boutique planetarium by the river fun food truck on main street leading organic farm in the marina top-rated vintage clothing store in the marina,boutiqueplanetariumby.net,normal
cozy stationery store by the beach knowledgeable art supply store in the industrial park elegant museum shop in the park,cozystationerystore.net,normal
elegant mini golf course in the tech district modern fashion boutique by the beach,elegantminigolf.net,normal
eco-friendly science center in downtown area,sciencecenterin.net,normal
top-rated arcade by the beach exclusive thrift store in the arts district,arcadebythebeach.org,normal
reliable brewpub by the beach artisanal thrift store in the shopping center,reliablebrewpub.net,normal
historic pediatrician office in the food court supportive organic coffee shop in the business district,historicpediatrician.net,normal
notable jewelry store by the river,notablejewelrystore.org,normal
local pet grooming service in the marina resourceful mini golf course serving the city energetic sports bar in downtown area,localpetgroomingservice.org,normal
piracy website fraudulent business. for adults only. fake documents.,,inappropriate
unique electronics shop in the new development rural hardware store in the shopping center,uniqueelectronicsshopin.net,normal
fake passport website unsafe website. pirated media. explicit material. pirated media.,,inappropriate
fast motorcycle dealership in the mountains minimalist bicycle shop for seniors,fastmotorcycledealership.org,normal
resourceful pet grooming service in the suburbs,resourcefulpetgrooming.org,normal
modern wellness clinic for seniors notable motorcycle dealership in the market square,modernwellnessclinic.com,normal
boutique record store in the suburbs expert mobile app developer in the industrial park futuristic optician in the new development,boutiquerecordstore.net,normal
professional AI consulting firm in the new development holistic mobile repair center by the beach,professionalaiconsulting.com,normal
,,empty
suburban recording studio for seniors international photography studio in the medical center classic toy store near the airport,suburbanrecording.com,normal
boutique mobile repair center in the medical center fast orthodontist with global reach seasonal spa and wellness center in the residential area,boutiquemobilerepair.org,normal
rural ice cream shop for seniors pioneering food truck in the marina,ruralicecreamshop.org,normal
eco-conscious dog training school in the food court,dogtrainingschool.com,normal
compassionate music school in the tech district,compassionatemusic.org,normal
suburban thrift store in the shopping center cozy car wash in the science park fast shoe store in the sports complex,suburbanthriftstore.net,normal
famous arcade in the shopping center dynamic escape room in the city center historic mobile repair center in the food court,famousarcadeinthe.net,normal
rural escape room in the countryside,ruralescaperoom.org,normal
boutique juice bar in downtown area innovative fitness center by the beach highly-rated music school in the countryside,boutiquejuicebarin.com,normal
"Cafe :;'<>,.?/|\ with specials",cafe-special.com,special_chars
express dog training school on main street community barbershop close to university top-rated watch repair shop in the mountains,expressdogtrainingschool.com,normal
skilled arcade in the historic quarter futuristic toy store with global reach adventurous car rental agency in the park,skilledarcadein.com,normal
outdoor pet grooming service in the medical center reliable food truck in the new development energetic paintball park in the countryside,outdoorpetgroomingservice.org,normal
historic nutritionist in the park luxury laser tag arena for kids,historicnutritionistinthe.net,normal
hate speech website criminal network. dangerous activity. malicious intent.,,inappropriate
community children's museum in the park legendary vintage clothing store in the new development,communitymuseum.org,normal
elegant craft supply store in the shopping center spacious luxury car dealership in the countryside,elegantcraftsupply.com,normal
convenient watch repair shop near the airport resourceful art supply store by the river community brewpub by the beach,convenientwatch.net,normal
custom home cleaning service in the plaza highly-rated food truck in the business district,customhomecleaning.com,normal
pioneering gift shop in the suburbs outdoor law firm in the sports complex international personal trainer in the new development,pioneeringgiftshopin.org,normal
green food truck in the science park friendly board game cafe in the city center,greenfoodtruckin.net,normal
trendy vintage clothing store in the science park colorful shoe store in the business district custom mobile repair center in the science park,trendyvintageclothingstore.org,normal
artisanal nutritionist in the market square efficient home cleaning service in the countryside highly-rated auto repair shop in the old town,artisanalnutritionist.com,normal
cozy paintball park by the beach classic children's bookstore close to university,cozypaintballparkby.net,normal
boutique nutritionist by the beach independent gift shop with global reach,boutiquenutritionistbythe.net,normal
adventurous barbershop in downtown area boutique stationery store in the shopping mall,adventurousbarbershop.org,normal
energetic jewelry store in the food court express planetarium close to university,energeticjewelry.com,normal
organic mini golf course in the mountains playful gallery space on main street,organicminigolf.org,normal
f,f.com,very_short
minimalist auto repair shop for seniors classic translation service near the airport,minimalistautorepair.com,normal
trendy veterinary clinic in the city center renowned vintage clothing store for kids custom motorcycle dealership by the beach,trendyveterinary.com,normal
award-winning ice cream shop in the old town,icecreamshopinthe.com,normal
affectionate luxury car dealership in the residential area experienced art gallery close to university cutting-edge dog training school in the industrial park,affectionateluxurycardealership.net,normal
modern law firm in the suburbs green yoga studio in the plaza fast legal consultancy in downtown area,modernlawfirmin.net,normal
classic dental clinic in the food court rural gift shop in the food court,classicdentalclinic.net,normal
reliable music school in the suburbs pioneering tattoo parlor in the park,reliablemusicschool.net,normal
custom organic coffee shop on main street highly-rated eco-friendly cleaning service serving the city downtown art supply store serving the city,customorganiccoffeeshop.net,normal
leading catering service in the mountains modern paintball park in the marina,leadingcateringservicein.net,normal
trusted eco-friendly cleaning service in the business district luxury fashion boutique in the shopping center classic florist in the city center,trustedcleaning.com,normal
affectionate science center in the marina energetic bicycle shop serving the city,affectionatescience.com,normal
downtown craft brewery in the commercial hub holistic art supply store in the historic quarter,downtowncraftbreweryin.com,normal
affordable laser tag arena in the food court luxury wellness clinic on main street,affordablelasertag.net,normal
legendary catering service in the marina boutique museum shop in the tech district,legendarycateringservice.net,normal
inspiring escape room in the new development famous home cleaning service in the countryside,inspiringescape.com,normal
groundbreaking legal consultancy in the business district vintage photography studio in the new development local children's museum in the shopping center,groundbreakinglegal.org,normal
fast consulting agency with global reach seasonal gallery space in the medical center holistic pet adoption center in the marina,fastconsultingagency.com,normal
terrorist website explicit material. pirated media.,,inappropriate
top-rated travel agency in the marina online sports equipment shop in the medical center,travelagencyinthe.org,normal
unique furniture store in the countryside green recording studio in the residential area legendary craft supply store in downtown area,uniquefurniture.net,normal
premium sports equipment shop in the shopping center,premiumsportsequipmentshop.com,normal
efficient art supply store in the food court,efficientartsupply.com,normal
fun stationery store in the commercial hub,funstationerystorein.com,normal
skilled watch repair shop in the arts district resourceful web design studio in the historic quarter,skilledwatchrepair.org,normal
modern fitness center in the suburbs reliable spa retreat in the mountains spacious gaming lounge in the shopping mall,modernfitnesscenterin.com,normal
highly-rated fashion boutique close to university sustainable pediatrician office by the beach 24/7 organic farm in the entertainment zone,fashionboutiquecloseto.com,normal
convenient dog training school in the entertainment zone,convenientdogtraining.net,normal
dynamic ice cream shop in the shopping mall,dynamicicecreamshop.net,normal
experienced escape room in the countryside energetic record store close to university,experiencedescaperoomin.com,normal
seasonal photography studio in the medical center,seasonalphotographystudioin.com,normal
downtown hair salon in the industrial park,downtownhairsalon.org,normal
dedicated sports equipment shop in the shopping mall,dedicatedsportsequipment.org,normal
innovative event management company in the arts district fun web design studio in the commercial hub,innovativeeventmanagementcompany.com,normal
cutting-edge yoga studio serving the city online travel agency in the historic quarter,yogastudioserving.net,normal
artisanal pet hotel with global reach digital interior design firm in downtown area highly-rated market research firm in the market square,artisanalpethotelwith.org,normal
colorful juice bar for seniors pioneering book publisher in the old town exclusive gallery space in the suburbs,colorfuljuicebarfor.org,normal
community organic coffee shop in the food court motivational pediatrician office in the countryside,communityorganiccoffeeshop.net,normal
notable tech startup in the tech district inspiring translation service in the city center,notabletechstartupin.org,normal
caring recording studio by the beach outdoor market research firm near the airport,caringrecordingstudioby.org,normal
top-rated legal consultancy in the park boutique digital marketing agency in the commercial hub,legalconsultancyin.org,normal
classic fitness center in the tech district skilled jewelry store in downtown area digital auto repair shop with global reach,classicfitnesscenterin.net,normal
spacious hair salon on main street legendary thrift store in the arts district,spacioushairsalon.org,normal
experienced museum shop in the historic quarter eco-friendly veterinary clinic for seniors,experiencedmuseum.net,normal
violence website dangerous activity. malicious intent.,,inappropriate
supportive legal consultancy in the plaza futuristic board game cafe in the countryside,supportivelegal.com,normal
energetic gaming lounge in the historic quarter skilled furniture store in the countryside minimalist record store by the river,energeticgaming.org,normal
scam website violent content. malicious intent. unlawful services.,,inappropriate
inspiring organic farm in the arts district,inspiringorganic.org,normal
sustainable orthodontist in the shopping mall indoor ice cream shop on main street,sustainableorthodontist.com,normal
top-rated children's bookstore in the arts district experienced car wash in the arts district,bookstoreinthearts.org,normal
creative web design studio in the old town organic art gallery in the tech district,creativewebdesignstudio.net,normal
famous thrift store in the countryside professional barbershop on main street trusted home cleaning service in the residential area,famousthriftstore.org,normal
minimalist comic book shop in the city center family-owned fashion boutique in the marina,minimalistcomicbookshop.com,normal
family-owned music venue in the park affordable museum shop close to university award-winning children's museum in the shopping center,musicvenueinthe.com,normal
